,sex_of_driver,age_of_driver,vehicle_type,generic_make_model,engine_capacity_cc,age_of_vehicle
1194,1,58,4,-1,-1,-1
1210,1,26,5,-1,-1,-1
1213,3,-1,3,-1,125,1
1215,3,-1,3,-1,124,4
1218,1,26,5,-1,599,18
1224,1,32,2,-1,125,2
1229,1,59,5,-1,645,11
1232,1,25,5,-1,656,6
1242,1,38,3,-1,124,10
1244,1,23,3,-1,124,0
1248,3,-1,3,-1,-1,-1
1252,1,23,2,-1,124,14
1256,1,40,5,-1,-1,-1
1272,1,50,5,-1,781,16
1278,1,28,4,-1,125,8
1280,1,28,3,-1,125,10
1286,1,46,3,-1,-1,-1
1312,1,34,3,-1,125,2
1318,1,37,4,-1,124,7
1328,1,28,5,-1,689,0
1333,1,31,3,-1,125,0
1334,1,22,2,-1,108,3
1336,1,18,3,-1,125,4
1348,1,20,3,-1,124,1
1360,1,40,3,-1,125,0
1363,1,34,4,-1,124,7
1365,1,55,5,-1,680,7
1367,1,25,2,-1,124,15
1375,1,47,3,-1,124,9
1381,1,26,3,-1,125,3
1384,1,21,3,-1,-1,-1
1388,1,22,3,-1,125,3
1391,1,32,2,-1,49,9
1398,1,39,4,-1,-1,-1
1431,1,34,3,-1,124,9
1433,2,51,4,-1,-1,-1
1436,1,17,2,-1,49,4
1438,1,21,4,-1,125,0
1440,1,37,4,-1,395,0
1446,1,42,3,-1,-1,-1
1477,1,16,2,-1,49,9
1486,1,22,3,-1,108,0
1524,1,25,3,-1,124,10
1528,1,22,5,-1,806,1
1536,2,36,2,-1,124,7
1539,1,29,3,-1,49,1
1558,1,32,3,-1,125,4
1559,1,24,4,-1,-1,-1
1565,1,34,3,-1,125,5
1574,3,-1,2,-1,-1,-1
1580,1,27,4,-1,125,0
1593,1,36,4,-1,176,18
1600,1,18,3,-1,124,4
1616,1,54,5,-1,-1,-1
1617,1,19,3,-1,124,1
1634,1,39,4,-1,600,12
1638,1,50,5,-1,1050,11
1648,1,24,4,-1,689,0
1654,3,-1,4,-1,-1,-1
1655,1,31,3,-1,125,0
1664,1,48,4,-1,124,0
1666,1,21,3,-1,124,0
1688,1,25,5,-1,-1,-1
1690,1,24,5,-1,-1,-1
1692,1,37,4,-1,1050,0
1699,3,-1,3,-1,-1,-1
1700,1,24,3,-1,124,0
1706,1,23,3,-1,125,7
1709,1,41,3,-1,125,0
1711,1,29,4,-1,124,0
1714,1,26,5,-1,1050,10
1719,1,48,3,-1,109,2
1724,1,20,3,-1,125,9
1732,1,27,3,-1,125,13
1737,1,30,5,-1,999,4
1742,1,29,3,-1,-1,-1
1746,1,31,2,-1,124,0
1752,1,24,5,-1,600,10
1755,1,34,3,-1,125,0
1759,1,17,5,-1,748,19
1761,1,22,2,-1,-1,-1
1769,1,20,3,-1,125,7
1773,1,16,3,-1,-1,-1
1788,1,35,5,-1,649,4
1790,1,38,3,-1,125,1
1793,1,31,2,-1,108,3
1794,1,21,3,-1,-1,-1
1797,1,32,4,-1,-1,-1
1799,2,41,2,-1,125,0
1804,1,36,4,-1,800,4
1808,1,45,4,-1,400,2
1830,1,49,3,-1,244,8
1832,1,39,3,-1,125,0
1844,1,34,5,-1,-1,-1
1849,3,-1,3,-1,-1,-1
1854,1,29,5,-1,-1,-1
1859,1,33,2,-1,49,4
1860,1,18,3,-1,124,2
1866,1,29,3,-1,108,5
1871,1,25,3,-1,125,2
1876,1,26,5,-1,659,1
1883,1,25,5,-1,-1,-1
1885,1,19,3,-1,108,0
1898,1,54,5,-1,1340,6
1902,1,27,2,-1,125,5
1909,1,21,4,-1,125,7
1911,1,26,3,-1,125,1
1914,1,-1,3,-1,-1,-1
1924,1,37,5,-1,1255,9
1925,1,44,5,-1,1293,7
1929,1,25,3,-1,-1,-1
1933,1,52,4,-1,125,11
1941,1,27,4,-1,600,11
1946,1,35,5,-1,-1,-1
1952,1,41,3,-1,1130,13
1959,2,25,3,-1,125,0
1966,1,36,3,-1,125,6
1973,2,26,2,-1,48,4
1979,1,31,4,-1,125,0
1995,1,33,4,-1,125,11
2006,1,25,4,-1,125,12
2009,1,29,4,-1,124,13
2011,1,24,4,-1,125,2
2013,1,48,2,-1,124,0
2014,1,36,5,-1,649,0
2025,1,34,2,-1,124,4
2026,1,36,4,-1,124,11
2029,1,33,3,-1,125,5
2031,1,38,3,-1,125,5
2050,1,58,2,-1,-1,-1
2051,1,24,2,-1,-1,-1
2052,1,17,3,-1,125,9
2056,1,31,3,-1,125,8
2067,1,33,3,-1,865,5
2070,1,-1,3,-1,125,2
2079,2,44,5,-1,937,-1
2089,1,37,5,-1,1170,8
2102,1,29,5,-1,647,15
2112,1,15,3,-1,-1,-1
2117,1,37,3,-1,125,3
2137,1,42,5,-1,-1,-1
2142,2,38,3,-1,124,4
2144,3,-1,3,-1,-1,-1
2148,1,24,2,-1,125,7
2151,1,16,2,-1,49,8
2158,1,37,2,-1,124,15
2167,1,54,5,-1,599,16
2182,3,-1,2,-1,-1,-1
2187,1,36,3,-1,125,2
2188,1,17,2,-1,49,15
2191,1,27,3,-1,125,7
2198,1,20,3,-1,125,13
2202,2,34,3,-1,125,0
2221,1,27,3,-1,-1,-1
2225,1,40,3,-1,124,29
2227,1,34,5,-1,599,14
2235,1,34,3,-1,108,8
2242,1,26,3,-1,-1,-1
2245,1,36,3,-1,125,10
2254,1,-1,5,-1,-1,-1
2255,1,32,5,-1,-1,-1
2270,1,31,3,-1,-1,-1
2283,1,25,3,-1,-1,-1
2286,1,17,3,-1,-1,-1
2293,1,40,3,-1,108,7
2302,1,22,3,-1,-1,-1
2312,1,19,3,-1,124,4
2313,1,44,5,-1,-1,-1
2315,1,59,3,-1,125,4
2318,1,42,3,-1,123,19
2321,1,32,3,-1,450,13
2322,1,57,5,-1,599,6
2328,1,40,4,-1,899,12
2335,1,33,3,-1,-1,-1
2344,2,36,3,-1,125,1
2347,1,32,5,-1,744,3
2348,1,14,3,-1,-1,-1
2357,1,19,3,-1,108,6
2359,1,37,2,-1,49,1
2363,1,32,3,-1,108,3
2366,1,22,4,-1,124,9
2372,1,26,4,-1,-1,-1
2380,1,22,3,-1,125,5
2412,1,17,3,-1,125,5
2414,1,24,3,-1,125,1
2420,1,69,4,-1,865,9
2422,1,36,2,-1,-1,-1
2434,1,29,3,-1,125,9
2441,1,47,5,-1,1085,17
2448,1,30,5,-1,745,0
2461,1,46,2,-1,49,8
2478,1,21,2,-1,109,3
2481,1,24,3,-1,125,0
2482,1,20,2,-1,108,2
2484,1,22,5,-1,749,11
2494,1,27,5,-1,-1,-1
2500,1,19,3,-1,109,2
2506,1,19,2,-1,109,2
2522,1,24,3,-1,49,8
2534,1,34,4,-1,-1,-1
2538,1,22,3,-1,125,1
2547,1,33,3,-1,125,8
2550,1,26,3,-1,108,2
2559,1,22,3,-1,125,6
2563,1,27,3,-1,108,2
2564,1,54,3,-1,-1,-1
