,sex_of_driver,age_of_driver,vehicle_type,generic_make_model,engine_capacity_cc,age_of_vehicle
361303,1,-1,4,-1,330,2
361341,2,48,2,-1,49,6
361359,1,31,5,-1,781,17
361419,1,17,3,-1,125,0
361421,1,20,3,-1,124,3
361487,1,22,3,-1,125,2
361493,1,54,5,-1,1441,2
361536,1,32,3,-1,123,1
361541,1,22,4,-1,250,1
361565,1,25,3,-1,125,1
361572,1,30,3,-1,124,0
361599,1,33,3,-1,124,1
361638,1,49,3,-1,124,0
361705,1,16,2,-1,49,8
361722,1,25,3,-1,125,5
361751,1,27,3,-1,125,26
361763,1,24,3,-1,125,12
361769,1,64,3,-1,125,2
361774,1,21,3,-1,124,1
361881,1,18,3,-1,124,1
361882,1,18,3,-1,125,2
361974,1,30,3,-1,124,3
361997,1,16,2,-1,50,4
362014,1,22,3,-1,124,11
362022,1,23,3,-1,124,2
362032,1,25,3,-1,124,7
362063,1,33,5,-1,805,11
362092,1,41,5,-1,765,0
362145,1,25,5,-1,883,1
362152,1,26,3,-1,125,11
362190,1,30,5,-1,647,21
362193,1,37,5,-1,656,9
362249,1,19,3,-1,124,1
362302,1,17,3,-1,125,2
362304,1,18,5,-1,600,24
362325,1,47,3,-1,124,3
362339,1,-1,3,-1,125,3
362415,1,36,3,-1,125,5
362429,1,27,3,-1,125,2
362440,1,16,3,-1,124,2
362445,1,47,3,-1,745,3
362456,1,28,3,-1,125,2
362466,1,45,3,-1,125,5
362500,1,35,3,-1,108,3
362513,1,22,3,-1,124,2
362552,1,28,3,-1,125,1
362580,1,-1,5,-1,749,23
362639,1,21,5,-1,599,19
362700,1,-1,3,-1,124,3
362704,1,27,3,-1,124,0
362802,1,37,5,-1,599,15
362811,1,17,3,-1,125,6
362820,2,41,3,-1,125,0
362833,1,37,5,-1,599,14
362844,1,40,5,-1,953,13
362867,1,24,3,-1,125,13
362885,3,-1,3,-1,-1,-1
362886,1,52,3,-1,125,1
362942,1,44,3,-1,125,2
363006,1,26,3,-1,125,2
363043,1,18,3,-1,124,8
363055,1,46,5,-1,599,7
363087,1,22,3,-1,124,1
363147,1,21,3,-1,-1,-1
363159,1,17,3,-1,124,10
363170,1,17,3,-1,125,1
363178,1,18,3,-1,124,10
363195,1,58,5,-1,1255,5
363197,1,21,3,-1,124,5
363219,1,22,3,-1,124,3
363225,1,21,3,-1,124,10
363256,1,57,4,-1,499,20
363272,1,42,3,-1,124,2
363277,1,31,3,-1,125,3
363285,1,25,3,-1,124,5
363300,1,19,3,-1,124,0
363338,1,58,5,-1,1089,34
363343,1,22,3,-1,124,9
363345,1,35,5,-1,748,11
363378,1,26,3,-1,125,3
363391,1,23,3,-1,124,5
363397,1,30,3,-1,125,24
363439,1,20,3,-1,125,4
363448,1,73,5,-1,675,5
363465,1,31,3,-1,125,2
363510,1,17,3,-1,124,9
363515,3,-1,5,-1,600,17
363518,1,20,3,-1,-1,-1
363520,1,48,5,-1,645,17
363528,1,23,5,-1,599,19
363530,2,34,3,-1,125,1
363541,1,35,5,-1,1043,2
363589,1,31,5,-1,675,11
363609,1,21,5,-1,649,11
363619,1,19,3,-1,125,1
363644,1,49,5,-1,599,15
363670,1,60,5,-1,996,14
363692,1,27,3,-1,124,3
363716,1,31,3,-1,125,2
363754,1,23,3,-1,124,1
363758,1,32,5,-1,1050,5
363762,1,19,5,-1,645,9
363798,1,53,5,-1,749,-1
363801,1,17,3,-1,125,1
363849,1,22,3,-1,-1,-1
363858,1,56,5,-1,998,1
363870,1,26,3,-1,125,4
363874,1,49,5,-1,1170,1
363878,1,24,5,-1,748,11
363882,1,19,2,-1,49,14
363901,1,38,3,-1,125,4
363917,1,16,2,-1,50,4
363961,2,43,3,-1,125,1
363967,1,18,3,-1,125,1
363994,1,61,5,-1,998,11
364038,1,53,5,-1,-1,-1
364048,1,28,3,-1,85,26
364073,1,24,4,-1,656,11
364118,1,30,5,-1,779,4
364143,1,20,3,-1,124,4
364148,1,25,5,-1,599,17
364167,1,30,3,-1,125,3
364183,2,18,3,-1,102,3
364202,1,18,3,-1,124,11
364223,1,27,3,-1,125,11
364239,1,57,5,-1,1450,15
364257,1,36,3,-1,-1,-1
364259,1,29,3,-1,124,23
364268,1,18,3,-1,124,15
364274,2,46,5,-1,847,0
364285,1,46,5,-1,998,15
364308,1,51,5,-1,1250,15
364322,1,17,2,-1,49,6
364333,2,46,5,-1,1100,26
364346,1,22,3,-1,125,2
364350,1,26,3,-1,124,1
364354,1,34,5,-1,656,8
364360,1,25,3,-1,125,13
364378,1,24,5,-1,998,4
364398,1,50,5,-1,1157,19
364402,1,78,5,-1,599,14
364423,1,25,3,-1,124,1
364428,1,23,3,-1,125,15
364477,1,17,3,-1,124,5
364484,1,29,3,-1,125,2
364504,3,-1,5,-1,847,2
364511,1,24,5,-1,-1,-1
364515,1,46,5,-1,1198,3
364553,1,47,3,-1,124,6
364568,1,50,4,-1,883,15
364569,1,46,5,-1,1130,15
364574,2,49,5,-1,998,1
364580,1,29,5,-1,1000,8
364604,1,35,3,-1,125,4
364616,1,32,3,-1,124,5
364643,1,-1,3,-1,125,2
364660,2,50,5,-1,599,18
364667,1,25,5,-1,599,11
364673,2,47,3,-1,115,2
364684,1,42,5,-1,998,9
364742,1,54,5,-1,948,0
364745,1,84,3,-1,125,1
364763,1,20,3,-1,125,1
364787,1,27,3,-1,125,9
364803,1,39,3,-1,125,2
364830,1,36,5,-1,1000,8
364834,1,17,3,-1,125,10
364836,1,18,3,-1,124,1
364837,1,23,2,-1,49,2
364874,1,16,5,-1,781,16
364889,1,60,5,-1,955,15
364891,2,48,5,-1,645,17
364920,1,51,3,-1,124,7
364930,2,55,3,-1,124,7
364936,1,20,3,-1,124,2
364951,1,-1,5,-1,599,7
364960,1,29,5,-1,598,20
364975,2,24,3,-1,124,5
365014,1,23,3,-1,124,18
365021,1,40,3,-1,124,13
365031,1,43,5,-1,998,11
365050,1,57,5,-1,1552,11
365055,1,51,3,-1,125,54
365059,1,48,5,-1,1052,24
365072,1,25,3,-1,125,3
365082,1,23,3,-1,124,21
365100,1,21,3,-1,125,2
365120,1,35,5,-1,918,18
365121,1,37,5,-1,598,23
365143,1,25,3,-1,124,4
365147,1,22,3,-1,125,3
365154,1,21,5,-1,649,5
365198,1,41,5,-1,1050,5
365206,1,-1,5,-1,749,8
365229,1,19,3,-1,98,16
365264,1,34,5,-1,847,0
365272,1,22,2,-1,50,10
365273,1,20,2,-1,50,2
365275,1,56,5,-1,656,8
365278,1,23,3,-1,124,13
365286,1,17,3,-1,125,0
365287,2,17,2,-1,49,12
365293,1,34,3,-1,125,2
365295,1,44,5,-1,749,5
365296,1,28,5,-1,599,22
365314,1,20,4,-1,296,1
365329,1,57,5,-1,740,21
365343,1,22,3,-1,124,11
365357,1,21,4,-1,400,28
365369,1,20,3,-1,125,1
365371,1,27,5,-1,-1,-1
365375,1,48,5,-1,1170,10
365377,1,22,5,-1,-1,-1
365404,1,25,3,-1,124,17
365410,1,60,5,-1,1450,13
365418,1,16,2,-1,49,9
365429,1,49,5,-1,1000,11
365445,1,38,3,-1,124,2
365463,1,49,4,-1,399,8
365477,1,66,5,-1,1584,8
365478,1,46,5,-1,1298,14
365488,1,43,3,-1,124,5
365489,1,27,3,-1,125,10
365518,1,29,3,-1,125,2
365529,1,31,5,-1,1170,12
365578,1,18,3,-1,124,8
365591,1,64,5,-1,-1,-1
365596,1,44,4,-1,499,23
365602,1,17,3,-1,123,0
365619,1,31,3,-1,-1,-1
365645,1,47,5,-1,782,8
365660,1,34,5,-1,1000,8
365668,2,39,3,-1,-1,-1
365701,1,20,3,-1,124,3
365721,1,16,2,-1,50,9
365755,1,20,3,-1,125,1
365756,1,21,4,-1,249,8
365781,1,17,3,-1,125,0
365792,1,23,3,-1,124,7
365810,1,53,5,-1,998,0
365815,1,26,3,-1,124,2
365838,1,20,3,-1,124,1
365843,1,48,3,-1,124,6
365845,1,16,2,-1,49,6
365846,1,17,3,-1,125,2
365850,1,25,3,-1,124,3
365869,2,53,5,-1,599,18
365870,1,56,5,-1,1050,3
365872,1,34,3,-1,125,0
365886,1,43,5,-1,806,3
365889,1,27,4,-1,498,21
365975,1,69,5,-1,1298,7
366002,1,35,3,-1,125,1
366003,2,21,3,-1,125,0
366041,1,47,5,-1,955,12
366043,1,59,4,-1,499,14
366061,1,28,3,-1,124,3
366081,1,16,2,-1,50,3
366116,1,16,2,-1,50,0
366117,1,23,3,-1,125,1
366118,1,17,3,-1,124,7
366136,1,48,5,-1,599,19
366155,1,17,3,-1,124,2
366181,1,65,3,-1,124,1
366203,1,38,5,-1,645,0
366207,1,18,3,-1,124,1
366209,1,34,3,-1,124,2
366226,1,26,2,-1,125,1
366232,1,19,3,-1,125,4
366238,1,21,4,-1,249,6
366277,1,56,3,-1,-1,-1
366317,1,49,5,-1,750,20
366322,1,18,3,-1,125,2
366328,1,22,3,-1,124,8
366330,1,51,5,-1,847,3
366359,1,55,4,-1,299,0
366373,1,21,3,-1,124,13
366375,1,29,3,-1,-1,-1
366396,1,23,3,-1,-1,-1
366419,1,22,5,-1,599,15
366463,1,34,3,-1,125,3
366506,1,20,3,-1,125,1
366527,1,19,3,-1,125,1
366533,1,18,3,-1,124,9
366537,1,52,5,-1,1261,12
366540,1,66,2,-1,49,5
366568,1,36,5,-1,919,14
366578,1,22,2,-1,49,1
366591,2,50,2,-1,49,1
366599,1,20,3,-1,125,2
366612,1,18,3,-1,124,7
366645,1,48,4,-1,599,11
366656,1,37,5,-1,-1,-1
366662,1,21,3,-1,124,3
366669,1,65,5,-1,680,10
366692,2,27,3,-1,124,14
366701,1,48,3,-1,124,8
366715,1,47,3,-1,124,9
366729,1,16,2,-1,49,5
366733,1,26,3,-1,125,1
366736,1,36,5,-1,749,7
366751,1,27,3,-1,124,2
366759,1,19,3,-1,108,3
366778,1,26,3,-1,125,4
366784,1,20,3,-1,125,8
366797,1,28,3,-1,124,4
366799,1,43,5,-1,1170,4
366857,1,34,5,-1,1085,19
366862,1,17,3,-1,125,0
366884,1,26,3,-1,124,15
366891,2,43,5,-1,738,18
366896,1,21,3,-1,125,1
366907,1,51,5,-1,899,18
366925,2,22,3,-1,125,1
366940,1,21,2,-1,49,3
366956,1,20,3,-1,124,5
366973,1,43,5,-1,1170,5
366978,1,67,5,-1,599,17
367009,1,25,3,-1,124,10
367013,1,25,3,-1,124,10
367021,1,49,5,-1,599,20
367025,1,53,3,-1,125,56
367054,1,50,5,-1,1584,7
367056,1,36,5,-1,599,9
367061,1,19,3,-1,125,0
367067,1,17,2,-1,49,12
367069,1,26,4,-1,400,17
367076,1,16,2,-1,-1,-1
367078,1,33,3,-1,124,3
367079,1,18,3,-1,115,1
367083,1,59,5,-1,782,1
367098,1,38,5,-1,899,21
367139,1,32,5,-1,1050,8
367140,1,62,5,-1,1298,13
367145,2,29,2,-1,49,14
367150,1,54,5,-1,1170,11
367158,1,28,5,-1,599,17
367190,2,18,3,-1,125,1
367192,1,70,3,-1,125,13
367201,1,46,5,-1,1300,3
367202,1,34,5,-1,599,8
367218,1,50,5,-1,998,10
367219,1,48,5,-1,1000,2
367220,1,49,5,-1,675,2
367221,1,75,5,-1,676,18
367222,1,67,5,-1,865,3
367234,1,21,3,-1,125,10
367235,1,45,5,-1,592,24
367258,2,29,3,-1,124,17
367271,1,36,5,-1,999,5
367273,1,31,5,-1,-1,-1
367278,1,20,2,-1,49,4
367286,1,22,5,-1,649,2
367288,2,28,5,-1,-1,-1
367289,1,54,5,-1,1137,13
367290,1,17,3,-1,124,8
367299,1,20,3,-1,124,6
367310,2,29,5,-1,1200,8
367333,1,18,3,-1,125,1
367336,2,55,3,-1,124,14
367345,2,25,5,-1,-1,-1
367366,1,23,3,-1,124,16
367376,1,54,5,-1,656,10
367390,1,45,5,-1,1127,29
367394,1,15,5,-1,-1,-1
367411,1,24,4,-1,998,10
367446,1,53,5,-1,897,13
367481,1,33,5,-1,599,19
367487,1,32,5,-1,865,3
367509,1,51,5,-1,-1,-1
367516,1,26,3,-1,125,12
367528,1,67,5,-1,998,10
367531,2,18,3,-1,124,4
367564,1,55,5,-1,999,8
367566,1,40,2,-1,49,17
367580,1,36,5,-1,-1,-1
367612,1,20,3,-1,124,2
367637,1,68,5,-1,782,14
367646,2,18,2,-1,49,7
367665,1,16,2,-1,49,3
367682,1,35,5,-1,1352,7
367684,2,47,2,-1,847,2
367685,2,17,2,-1,49,7
367690,1,26,3,-1,125,1
367692,1,17,2,-1,50,3
367702,1,54,5,-1,781,17
367708,1,30,3,-1,124,0
367714,1,18,3,-1,124,21
367722,1,62,5,-1,955,11
367723,1,56,5,-1,1202,1
367730,1,26,3,-1,125,1
367733,1,23,3,-1,125,11
367735,1,59,4,-1,500,51
367790,2,19,2,-1,50,4
367795,1,59,4,-1,124,12
367799,1,21,3,-1,124,7
367802,1,48,3,-1,124,17
367808,1,25,3,-1,-1,-1
367809,1,24,5,-1,-1,-1
367825,2,63,3,-1,115,2
367869,1,20,3,-1,125,1
367870,1,30,3,-1,124,10
367874,1,40,5,-1,1352,11
367888,1,86,3,-1,125,7
367893,1,17,3,-1,125,3
367899,2,23,3,-1,125,1
367913,1,51,5,-1,599,7
367924,1,56,5,-1,1085,18
367948,2,50,3,-1,124,7
367957,1,40,5,-1,998,10
367997,1,52,5,-1,599,6
368008,1,31,5,-1,998,8
368016,1,44,5,-1,-1,-1
368021,1,19,3,-1,124,5
368025,1,62,5,-1,1063,11
368031,1,53,5,-1,750,29
368037,1,51,5,-1,1340,8
368060,3,-1,5,-1,-1,-1
368062,1,50,5,-1,883,3
368064,2,36,5,-1,954,15
368098,1,48,5,-1,675,4
368114,1,33,5,-1,599,10
368121,1,36,5,-1,1203,8
368122,1,34,5,-1,919,15
368136,1,18,3,-1,-1,-1
368193,1,16,3,-1,-1,-1
368197,1,22,3,-1,125,2
368230,1,19,4,-1,471,4
368239,1,58,5,-1,1151,10
368242,1,53,4,-1,398,24
368247,1,57,5,-1,1352,9
368258,1,53,5,-1,798,1
368259,1,50,5,-1,1137,18
368296,1,16,2,-1,49,5
368304,1,26,3,-1,125,8
368317,1,21,3,-1,125,2
368319,1,53,4,-1,198,15
368320,1,41,5,-1,599,9
368335,1,46,5,-1,-1,-1
368346,1,24,5,-1,749,12
368352,2,17,3,-1,-1,-1
368358,2,46,5,-1,892,21
368364,1,35,5,-1,900,1
368368,1,60,5,-1,744,23
368379,1,19,3,-1,124,3
368392,1,39,5,-1,-1,-1
368407,1,33,5,-1,998,11
368409,1,64,5,-1,1450,11
368416,1,41,5,-1,599,14
368423,1,68,5,-1,999,2
368424,2,44,5,-1,745,3
368431,1,40,2,-1,-1,1
368476,1,32,3,-1,-1,-1
368477,2,46,5,-1,1200,70
368478,2,50,5,-1,1731,2
368501,1,51,5,-1,1099,27
368517,1,57,5,-1,885,21
368525,1,16,2,-1,48,0
368540,1,49,5,-1,1000,10
368554,1,18,3,-1,125,2
368569,1,64,4,-1,198,37
368571,1,57,4,-1,490,37
368580,1,19,3,-1,124,6
368588,1,49,5,-1,600,12
368610,1,58,5,-1,1965,7
368635,1,51,5,-1,1690,1
368636,2,39,2,-1,50,0
368639,2,39,2,-1,50,0
368640,1,32,5,-1,599,14
368649,1,30,5,-1,898,3
368676,1,17,3,-1,124,6
368680,1,51,5,-1,1215,5
368684,1,63,5,-1,636,1
368698,1,57,5,-1,865,4
368720,1,49,5,-1,883,12
368730,1,51,5,-1,999,11
368743,1,47,5,-1,599,10
368755,1,21,3,-1,125,2
368778,1,28,3,-1,124,12
368781,1,46,5,-1,748,5
368795,1,48,2,-1,49,4
368798,1,28,5,-1,599,11
368804,1,53,4,-1,471,1
368807,1,71,5,-1,892,19
368816,1,70,4,-1,398,9
368828,1,18,3,-1,125,2
368848,1,32,3,-1,124,7
368854,1,39,5,-1,-1,-1
368857,1,24,5,-1,-1,-1
368858,1,33,5,-1,-1,-1
368869,1,56,5,-1,649,1
368872,1,52,5,-1,1441,5
368883,1,53,5,-1,998,10
368895,1,25,4,-1,449,2
368919,1,30,3,-1,124,10
368932,1,17,3,-1,124,7
368936,1,30,3,-1,-1,-1
368937,1,49,5,-1,675,7
368941,1,20,5,-1,600,20
368963,1,26,3,-1,125,7
368967,1,50,5,-1,996,11
368977,1,53,3,-1,125,-1
368983,1,16,2,-1,49,8
368997,1,18,3,-1,124,25
369004,1,62,5,-1,598,22
369005,1,24,5,-1,599,19
369040,2,21,3,-1,125,0
369047,1,34,3,-1,-1,-1
369083,1,64,5,-1,1043,3
369091,2,54,3,-1,114,2
369097,1,64,5,-1,999,6
369099,1,42,5,-1,1250,9
369102,1,59,3,-1,124,17
369103,1,54,3,-1,123,9
369105,1,18,2,-1,49,14
369113,1,35,3,-1,125,2
369120,1,54,5,-1,742,15
369124,1,71,5,-1,1050,8
369140,1,51,5,-1,998,23
369147,1,24,3,-1,125,9
369151,1,44,5,-1,805,14
369157,1,36,5,-1,599,7
369190,1,56,5,-1,645,3
369198,1,54,5,-1,656,12
369212,2,61,3,-1,125,6
369218,1,19,3,-1,125,0
369268,1,69,2,-1,49,24
369278,1,17,3,-1,125,5
369290,1,38,5,-1,749,13
369316,1,63,5,-1,805,4
369327,1,52,5,-1,1050,1
369343,1,18,3,-1,-1,-1
369344,1,48,5,-1,883,2
369350,1,70,5,-1,865,2
369375,1,43,5,-1,918,18
369387,1,64,3,-1,125,2
369400,1,22,3,-1,124,12
369406,1,17,3,-1,125,1
369425,1,17,3,-1,124,14
369432,1,16,2,-1,48,0
369443,2,17,3,-1,125,4
369483,1,44,5,-1,1237,6
369486,1,29,5,-1,942,10
369490,1,22,3,-1,124,6
369496,1,41,5,-1,1299,15
369504,1,38,3,-1,124,26
369506,1,21,3,-1,-1,-1
369549,1,61,5,-1,-1,-1
369556,1,22,3,-1,125,5
369566,1,21,3,-1,125,1
369568,1,49,3,-1,124,12
369592,1,22,3,-1,124,15
369599,1,24,3,-1,-1,-1
369605,1,19,3,-1,124,1
369622,1,49,5,-1,1255,9
369670,1,20,3,-1,125,11
369681,3,18,3,-1,-1,-1
369710,1,16,2,-1,49,32
369715,1,38,4,-1,904,19
369716,1,17,3,-1,124,22
369731,2,22,3,-1,125,0
369774,2,38,5,-1,649,10
369790,1,16,2,-1,49,16
369801,1,54,4,-1,498,15
369806,1,66,5,-1,999,2
369807,1,58,5,-1,996,14
369820,1,29,5,-1,599,8
369837,1,21,3,-1,124,7
369840,2,36,3,-1,125,2
369841,1,19,3,-1,125,0
369852,1,25,3,-1,109,3
369855,1,33,5,-1,1200,19
369858,1,17,3,-1,125,1
369884,1,29,5,-1,-1,-1
369911,1,52,5,-1,1137,17
369918,1,63,5,-1,1441,3
369920,1,28,3,-1,125,12
369934,1,19,3,-1,-1,-1
369940,1,33,2,-1,-1,-1
369960,1,18,3,-1,125,2
369962,1,26,3,-1,124,0
369965,1,19,3,-1,125,4
369969,1,44,5,-1,599,21
370051,1,18,3,-1,124,3
370058,1,25,3,-1,124,0
370104,1,19,3,-1,124,0
370115,1,18,3,-1,-1,-1
370163,1,48,3,-1,125,2
370245,1,45,5,-1,850,20
370268,1,19,3,-1,-1,-1
370309,1,23,3,-1,124,3
370390,1,36,3,-1,125,2
370398,2,24,3,-1,124,4
370481,1,29,3,-1,125,1
370518,1,56,3,-1,125,1
370534,1,57,5,-1,1340,7
370540,1,16,2,-1,49,4
370542,1,22,4,-1,689,2
370544,1,24,2,-1,49,14
370641,1,51,2,-1,50,0
370655,1,30,4,-1,1340,7
370656,1,31,4,-1,1352,8
370659,1,21,5,-1,599,7
370710,1,59,5,-1,-1,-1
370732,1,30,5,-1,1050,5
370735,1,22,5,-1,600,16
370768,1,22,3,-1,124,1
370771,1,27,5,-1,1050,9
370800,1,63,5,-1,689,3
370811,1,65,5,-1,650,3
370822,1,19,3,-1,124,2
370826,1,25,3,-1,124,9
370908,1,53,5,-1,955,13
370913,1,66,3,-1,124,6
370915,1,42,5,-1,1800,15
370916,1,24,5,-1,645,9
370918,1,17,3,-1,-1,-1
370920,1,68,5,-1,745,51
370921,1,59,5,-1,805,12
370923,1,42,5,-1,647,11
370926,1,48,5,-1,750,26
370979,1,52,5,-1,-1,-1
370990,1,16,2,-1,49,0
370994,1,21,4,-1,499,21
371007,1,40,5,-1,660,10
371015,1,56,4,-1,1584,9
371032,1,25,5,-1,599,18
371033,1,63,5,-1,1450,16
371037,1,21,5,-1,600,18
371071,1,26,5,-1,-1,-1
371084,1,58,5,-1,1000,2
371086,1,33,3,-1,124,2
371118,1,28,5,-1,999,11
371154,1,58,5,-1,998,6
371160,1,32,5,-1,749,8
371173,1,20,3,-1,125,11
371177,1,23,3,-1,124,2
371197,1,49,5,-1,1450,13
371261,1,20,5,-1,599,7
371271,1,23,5,-1,645,17
371288,1,41,3,-1,125,8
371298,1,24,5,-1,749,3
371335,1,43,5,-1,955,17
371369,1,58,5,-1,798,5
371376,2,46,4,-1,250,1
371388,1,29,3,-1,124,3
371389,2,26,3,-1,124,9
371404,1,24,5,-1,748,28
371413,1,46,5,-1,942,9
371424,1,23,3,-1,124,3
371464,1,42,5,-1,599,8
371470,1,30,5,-1,656,8
371502,1,35,5,-1,1000,41
371519,1,64,5,-1,883,9
371541,1,63,3,-1,124,6
371589,1,74,5,-1,891,24
371597,1,18,3,-1,124,5
371599,1,25,4,-1,998,3
371604,1,30,5,-1,1157,12
371608,1,17,2,-1,125,4
371622,1,23,3,-1,125,2
371636,1,26,5,-1,998,16
371644,1,51,3,-1,125,5
371662,1,25,3,-1,125,2
371687,1,21,5,-1,600,5
371694,1,26,5,-1,998,13
371698,1,65,2,-1,49,32
371709,1,26,3,-1,125,2
371717,1,48,4,-1,487,15
371774,1,58,5,-1,599,17
371787,1,37,5,-1,599,7
371793,1,27,3,-1,124,2
371798,1,22,5,-1,599,19
371804,1,38,3,-1,125,0
371817,1,49,5,-1,1000,33
371830,1,17,2,-1,-1,-1
371847,1,57,5,-1,998,0
371859,1,47,5,-1,656,6
371881,1,47,5,-1,745,3
371887,1,65,3,-1,124,5
371894,2,60,5,-1,676,16
371917,1,17,3,-1,120,2
371922,1,32,5,-1,998,15
371929,1,18,3,-1,124,5
371932,1,51,5,-1,599,17
371951,1,57,5,-1,1151,6
371955,1,27,3,-1,125,2
371982,1,31,5,-1,636,12
371983,1,24,5,-1,599,7
371995,1,57,5,-1,865,7
372009,1,20,3,-1,125,0
372011,1,26,5,-1,675,9
372025,1,27,5,-1,599,8
372035,1,56,4,-1,1450,17
372074,1,17,3,-1,-1,-1
372083,1,57,5,-1,998,10
372150,1,48,5,-1,1237,7
372152,1,18,2,-1,49,-1
372165,2,53,2,-1,50,0
372172,1,32,5,-1,999,5
372178,1,25,3,-1,-1,-1
372285,1,63,5,-1,1171,15
372295,1,21,3,-1,124,6
372331,1,16,2,-1,49,2
372384,1,23,3,-1,125,0
372385,1,63,5,-1,1000,0
372422,1,37,5,-1,689,1
372423,1,22,5,-1,599,4
372425,1,20,3,-1,124,1
372426,1,24,2,-1,125,1
372435,1,48,5,-1,1137,17
372493,1,17,3,-1,125,1
372509,1,18,2,-1,49,2
372528,1,55,3,-1,1170,3
372579,1,19,3,-1,125,0
372627,1,51,5,-1,558,33
372636,1,42,3,-1,125,0
372638,1,20,5,-1,645,17
372643,1,23,5,-1,689,2
372700,1,29,3,-1,125,1
372738,2,51,5,-1,1250,15
372779,1,28,5,-1,1043,3
372805,1,34,3,-1,125,1
372834,1,34,5,-1,-1,-1
372845,2,18,3,-1,125,1
372885,2,23,3,-1,125,0
372916,1,54,5,-1,696,8
372919,1,22,3,-1,124,6
372929,1,22,3,-1,125,2
372942,2,48,3,-1,125,1
372963,1,48,2,-1,49,2
372987,1,17,4,-1,124,5
372989,1,36,3,-1,125,10
372995,2,18,3,-1,124,7
373009,1,16,2,-1,49,10
373013,1,20,3,-1,124,1
373024,1,18,3,-1,124,1
373033,1,30,3,-1,125,3
373036,1,17,3,-1,125,1
373050,1,53,3,-1,124,3
373076,2,24,3,-1,125,3
373117,1,25,3,-1,124,11
373139,2,43,5,-1,649,1
373145,1,16,2,-1,49,3
373158,2,65,5,-1,647,21
373271,1,51,5,-1,599,9
373279,1,50,5,-1,999,1
373329,1,16,2,-1,-1,-1
373334,1,19,2,-1,49,1
373372,1,36,3,-1,125,18
373380,1,18,4,-1,124,7
373385,1,55,5,-1,1200,1
373387,1,27,4,-1,200,5
373388,1,51,5,-1,885,21
373391,1,39,5,-1,1199,12
373405,1,19,3,-1,125,13
373407,1,24,3,-1,124,7
373408,1,39,3,-1,125,3
373416,1,52,4,-1,1584,9
373422,1,21,3,-1,124,10
373426,1,41,5,-1,1000,17
373430,1,17,3,-1,49,1
373435,1,31,5,-1,999,6
373439,1,24,2,-1,124,2
373441,1,19,4,-1,125,13
373448,1,20,3,-1,125,9
373466,1,19,5,-1,645,4
373469,1,24,5,-1,599,19
373478,1,-1,3,-1,124,4
373503,1,24,3,-1,125,1
373545,1,21,4,-1,124,4
373548,2,17,4,-1,125,3
373558,1,32,4,-1,347,5
373585,1,24,5,-1,749,21
373592,1,16,2,-1,49,8
373629,1,36,4,-1,449,-1
373646,1,20,3,-1,-1,-1
373663,1,63,3,-1,124,6
373702,1,73,5,-1,803,2
373703,1,49,5,-1,450,13
373708,1,17,2,-1,124,1
373714,1,25,5,-1,599,12
373716,1,-1,5,-1,800,7
373725,1,17,3,-1,115,1
373730,1,32,5,-1,883,2
373746,1,60,4,-1,250,-1
373749,1,19,3,-1,124,4
373751,1,40,3,-1,124,3
373759,3,-1,2,-1,49,4
373765,1,22,5,-1,599,3
373770,1,38,5,-1,649,2
373776,1,23,5,-1,1000,2
373779,1,-1,3,-1,124,6
373791,1,30,4,-1,400,25
373828,1,26,5,-1,599,22
373840,1,36,4,-1,249,37
373844,1,16,2,-1,49,7
373858,1,40,3,-1,124,0
373889,1,36,5,-1,599,12
373908,1,36,3,-1,125,7
373934,1,58,5,-1,955,13
373940,1,39,4,-1,321,2
373967,1,23,3,-1,-1,-1
373968,1,50,4,-1,998,13
373975,1,28,3,-1,124,13
373983,1,42,5,-1,1043,7
374003,1,40,3,-1,124,5
374004,1,23,4,-1,-1,-1
374007,1,55,4,-1,496,37
374039,1,39,3,-1,124,3
374062,1,19,5,-1,599,28
374079,1,27,5,-1,745,9
374080,1,29,3,-1,125,0
374082,1,48,5,-1,1084,18
374086,1,-1,3,-1,124,2
374088,1,61,3,-1,1050,6
374094,1,20,3,-1,124,2
374099,1,56,5,-1,680,7
374101,1,53,5,-1,599,11
374104,1,-1,5,-1,645,7
374107,1,23,5,-1,998,10
374117,1,29,5,-1,996,19
374125,1,20,4,-1,124,5
374136,2,39,3,-1,89,24
374146,2,19,3,-1,125,4
374179,3,-1,3,-1,125,4
374189,1,52,5,-1,748,10
374203,1,34,5,-1,1801,1
374209,1,21,4,-1,471,2
374270,1,23,4,-1,125,3
374282,1,34,3,-1,124,9
374293,1,17,2,-1,-1,-1
374302,1,-1,5,-1,1170,3
374314,1,18,3,-1,125,14
374326,1,31,2,-1,-1,-1
374333,1,41,5,-1,-1,-1
374352,1,34,3,-1,125,1
374355,1,19,3,-1,124,7
374372,1,51,5,-1,998,11
374407,1,49,5,-1,998,10
374412,1,62,5,-1,883,4
374413,1,52,5,-1,1500,19
374439,1,30,5,-1,750,16
374440,1,59,5,-1,647,17
374458,1,67,5,-1,773,4
374465,1,65,5,-1,953,13
374508,2,51,3,-1,124,17
374511,1,26,3,-1,125,1
374524,1,48,5,-1,1170,1
374533,1,23,3,-1,124,3
374538,1,32,3,-1,125,3
374549,1,24,3,-1,125,0
374553,1,43,5,-1,1198,4
374554,1,37,5,-1,998,7
374556,2,54,4,-1,124,7
374557,1,58,5,-1,599,15
