"","age_driver","Freq"
"1","18",4.15882887378914
"2","19",4.03854274636262
"3","20",3.86323211383674
"4","21",3.94256977235211
"5","22",3.60090598487466
"6","23",3.51133120913151
"7","24",3.5164497677454
"8","25",3.67000652616223
"9","26",3.38720616274457
"10","27",3.3129870628431
"11","28",3.17990453888185
"12","29",3.09672796140607
"13","30",3.19014165610964
"14","31",2.62454092927432
"15","32",2.55544038798674
"16","33",2.25984362803435
"17","34",2.12292218511267
"18","35",2.22017479877666
"19","36",1.95400975085416
"20","37",1.95017083189374
"21","38",1.70064109946639
"22","39",1.70959857704071
"23","40",1.67760758570387
"24","41",1.47542452045504
"25","42",1.45367064634599
"26","43",1.38712938436536
"27","44",1.48438199802935
"28","45",1.49333947560367
"29","46",1.52661010659398
"30","47",1.50869515144535
"31","48",1.54324542208914
"32","49",1.43575569119736
"33","50",1.63537947713924
"34","51",1.54196578243567
"35","52",1.53172866520788
"36","53",1.43703533085083
"37","54",1.4869412773363
"38","55",1.35385875337505
"39","56",1.25020794144369
"40","57",1.14015893124496
"41","58",1.07105838995739
"42","59",0.913662712580137
"43","60",0.884231000550245
"44","61",0.715318566291732
"45","62",0.595032438865216
"46","63",0.525931897577642
"47","64",0.495220545894276
"48","65",0.423560725299756
"49","66",0.362138021933024
"50","67",0.318630273714922
"51","68",0.299435678912818
"52","69",0.271283606536399
"53","70",0.263605768615558
"54","71",0.211140542823141
"55","72",0.156116037723777
"56","73",0.163793875644618
"57","74",0.138201082575147
"58","75",0.122845406733464
"59","76",0.0665412619806263
"60","77",0.0729394602479942
